ids,pricing_period,monthly_revenue,hrs_worked_per_week,platfrom,domain_type,year_created,page_views,unique_users,ids,niche,monetization,price,net,multiple
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44985,"Automotive, Home, Lifestyle, Outdoors","eCommerce, Amazon FBA",35287,1138,38
46200,12,45166,30," Amazon FBA"," .com",2017,28521,18438,46200,Culinary,"Amazon FBA",1084957,30138,29
46293,12,50103,30," Other"," .com",2005,54603,18042,46293,"Amazon KDP","eCommerce, DropShipping, Amazon FBA",978763,31573,27
46437,12,25439,560," Amazon FBA"," .com",2017,11437,7730,46437,"Apparel & Accessories","Amazon FBA",848199,30293,28
46538,12,30872,3060," Other"," .com",2007,128516,34091,46538,"Digital Product, DropShipping",SaaS,2000931,62529,64
46603,12,31332,30," WordPress"," .com",2012,33700,23082,46603,"Amazon FBA","Application, Affiliate, Subscription",1496745,45356,33
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46610,"Affiliate, Amazon Associates","Amazon KDP",1547094,45503,31
46660,12,45205,60," Other, Amazon FBA"," .com",2015,36168,26453,46660,"Affiliate, Amazon Associates, Display Advertising","Amazon FBA, eCommerce",908622,22716,33
46740,6,22793,6081," WordPress"," .com",2016,552593,388312,46740,"Food & Beverages","Affiliate, Amazon Associates, Display Advertising",1153105,48046,40
46775,12,214723,11024," Other"," .com",2016,84788,32407,46775,Electronics,Subscription,3725152,98030,30
47018,12,17785,302," Amazon FBA, Shopify"," .com, .co, .uk",2015,5938,4033,47018,Children,"Amazon FBA",690967,19194,24
47081,12,187056,301," Shopify"," .com",2017,293641,92982,47081,Business,"eCommerce, DropShipping",1150026,17969,28
47101,12,176471,90," Amazon FBA"," .com, .uk, .ca, .it, .fr, .de, .es, .jp",2016,38479,25765,47101,Subscription,"Amazon FBA",2233448,74448,33
47105,12,47740,90," Amazon FBA"," .com, .ca",2017,9289,6126,47105,Beauty,"Amazon FBA",1087845,32965,30
47111,12,14714,30," Other"," .au",2017,10862,2477,47111,Finance,"Info Product, Service",952893,23822,27
47114,12,54285,302," Amazon FBA, Other"," .uk",2017,17138,12418,47114,"Lead Gen, Affiliate","Amazon FBA",952893,23822,27
47187,12,10105,30," Amazon FBA, Other"," .com, .au",2016,5802,4099,47187,"Amazon FBA","Amazon FBA",454026,15656,28
47198,12,260898,306," Amazon FBA"," .com, .uk",2017,44963,29083,47198,"Amazon Associates, Affiliate","Amazon FBA",35287,1138,36
47214,12,145529,30," Shopify"," .com",2018,206418,81980,47214,"Apparel & Accessories",eCommerce,1897387,52705,33
47242,12,46305,30," WordPress"," .com",2017,440285,316230,47242,"Health & Fitness, Food & Beverages","Affiliate, Amazon Associates",2233448,74448,34
47249,12,4993,30," Amazon FBA, Other"," .com",2018,3581,2454,47249,Automotive,"Amazon FBA",485738,15669,36
47253,8,4624,30," WordPress"," .com",2018,75675,42895,47253,Automotive,"Display Advertising, Amazon Associates",763640,23864,32
47275,12,67711,6030," Amazon FBA"," .com",2018,20325,13823,47275,"Amazon Associates, Affiliate, Display Advertising","Amazon FBA",983519,25882,24
47287,12,2644,30," WordPress"," .com",2018,52806,41195,47287,"Amazon FBA","Amazon Associates",499816,16661,29
